Byte 00 | Hex: E3 | Val: 227 | Freq: 754.00Hz
Byte 01 | Hex: EA | Val: 234 | Freq: 768.00Hz
Byte 02 | Hex: 4E | Val:  78 | Freq: 456.00Hz
Byte 03 | Hex: 5A | Val:  90 | Freq: 480.00Hz
Byte 04 | Hex: E2 | Val: 226 | Freq: 752.00Hz
Byte 05 | Hex: E3 | Val: 227 | Freq: 754.00Hz
Byte 06 | Hex: D6 | Val: 214 | Freq: 728.00Hz
Byte 07 | Hex: BA | Val: 186 | Freq: 672.00Hz
Byte 08 | Hex: 69 | Val: 105 | Freq: 510.00Hz
Byte 09 | Hex: 12 | Val:  18 | Freq: 336.00Hz
Byte 10 | Hex: A2 | Val: 162 | Freq: 624.00Hz
Byte 11 | Hex: B9 | Val: 185 | Freq: 670.00Hz
Byte 12 | Hex: D9 | Val: 217 | Freq: 734.00Hz
Byte 13 | Hex: E0 | Val: 224 | Freq: 748.00Hz
Byte 14 | Hex: B8 | Val: 184 | Freq: 668.00Hz
Byte 15 | Hex: 39 | Val:  57 | Freq: 414.00Hz
Byte 16 | Hex: 68 | Val: 104 | Freq: 508.00Hz
Byte 17 | Hex: 74 | Val: 116 | Freq: 532.00Hz
Byte 18 | Hex: 5B | Val:  91 | Freq: 482.00Hz
Byte 19 | Hex: 43 | Val:  67 | Freq: 434.00Hz
Byte 20 | Hex: 72 | Val: 114 | Freq: 528.00Hz
Byte 21 | Hex: F0 | Val: 240 | Freq: 780.00Hz
Byte 22 | Hex: F5 | Val: 245 | Freq: 790.00Hz
Byte 23 | Hex: 4F | Val:  79 | Freq: 458.00Hz
Byte 24 | Hex: A9 | Val: 169 | Freq: 638.00Hz
Byte 25 | Hex: 0A | Val:  10 | Freq: 320.00Hz
Byte 26 | Hex: 94 | Val: 148 | Freq: 596.00Hz
Byte 27 | Hex: C8 | Val: 200 | Freq: 700.00Hz
Byte 28 | Hex: 30 | Val:  48 | Freq: 396.00Hz
Byte 29 | Hex: 0F | Val:  15 | Freq: 330.00Hz
Byte 30 | Hex: EF | Val: 239 | Freq: 778.00Hz
Byte 31 | Hex: 44 | Val:  68 | Freq: 436.00Hz
Byte 32 | Hex: 7B | Val: 123 | Freq: 546.00Hz
Byte 33 | Hex: 2A | Val:  42 | Freq: 384.00Hz
Byte 34 | Hex: 8B | Val: 139 | Freq: 578.00Hz
Byte 35 | Hex: 8C | Val: 140 | Freq: 580.00Hz
Byte 36 | Hex: 3F | Val:  63 | Freq: 426.00Hz
Byte 37 | Hex: 61 | Val:  97 | Freq: 494.00Hz
Byte 38 | Hex: 37 | Val:  55 | Freq: 410.00Hz
Byte 39 | Hex: 37 | Val:  55 | Freq: 410.00Hz
Byte 40 | Hex: EE | Val: 238 | Freq: 776.00Hz
Byte 41 | Hex: 2C | Val:  44 | Freq: 388.00Hz
